antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'fatigue', 'chills', 'chest_pain'})",frozenset({'phlegm'}),0.06585365853658537,0.07195121951219512,0.06463414634146342,0.9814814814814815,13.640929064657879,1.0,0.05989589530041642,50.114634146341544,0.992019311296123,0.8833333333333332,0.9800457487711102,0.9398932831136222
"frozenset({'chills', 'cough'})","frozenset({'phlegm', 'chest_pain'})",0.06585365853658537,0.07195121951219512,0.06463414634146342,0.9814814814814815,13.640929064657879,1.0,0.05989589530041642,50.114634146341544,0.992019311296123,0.8833333333333332,0.9800457487711102,0.9398932831136222
"frozenset({'high_fever', 'chills', 'chest_pain'})",frozenset({'phlegm'}),0.06585365853658537,0.07195121951219512,0.06463414634146342,0.9814814814814815,13.640929064657879,1.0,0.05989589530041642,50.114634146341544,0.992019311296123,0.8833333333333332,0.9800457487711102,0.9398932831136222
"frozenset({'chills', 'cough', 'chest_pain'})",frozenset({'phlegm'}),0.06585365853658537,0.07195121951219512,0.06463414634146342,0.9814814814814815,13.640929064657879,1.0,0.05989589530041642,50.114634146341544,0.992019311296123,0.8833333333333332,0.9800457487711102,0.9398932831136222
"frozenset({'fatigue', 'vomiting', 'yellowing_of_eyes'})",frozenset({'loss_of_appetite'}),0.06463414634146342,0.23414634146341465,0.06341463414634146,0.9811320754716981,4.1902515723270435,1.0,0.04828078524687686,40.590243902439035,0.8139604854076823,0.26943005181347146,0.9753635380362937,0.6259827044025157
"frozenset({'fatigue', 'abdominal_pain', 'loss_of_appetite'})",frozenset({'yellowing_of_eyes'}),0.06463414634146342,0.16585365853658537,0.06341463414634146,0.9811320754716981,5.915649278579356,1.0,0.0526948245092207,44.209756097560984,0.8883762912446094,0.3795620437956204,0.977380558314024,0.6817425083240843
"frozenset({'joint_pain', 'abdominal_pain', 'loss_of_appetite'})",frozenset({'yellowing_of_eyes'}),0.06463414634146342,0.16585365853658537,0.06341463414634146,0.9811320754716981,5.915649278579356,1.0,0.0526948245092207,44.209756097560984,0.8883762912446094,0.3795620437956204,0.977380558314024,0.6817425083240843
"frozenset({'joint_pain', 'abdominal_pain', 'nausea'})",frozenset({'yellowing_of_eyes'}),0.06341463414634146,0.16585365853658537,0.06219512195121951,0.9807692307692307,5.913461538461538,1.0,0.05167757287328971,43.37560975609746,0.8871527777777778,0.3722627737226277,0.9769455690508322,0.6778846153846154
"frozenset({'fatigue', 'cough', 'malaise'})","frozenset({'phlegm', 'chest_pain'})",0.06341463414634146,0.07195121951219512,0.06219512195121951,0.9807692307692307,13.63102998696219,1.0,0.05763236168947056,48.258536585365746,0.9893790849673203,0.8499999999999999,0.979278277569999,0.9225880052151239
"frozenset({'fatigue', 'high_fever', 'chest_pain', 'malaise'})",frozenset({'phlegm'}),0.06341463414634146,0.07195121951219512,0.06219512195121951,0.9807692307692307,13.63102998696219,1.0,0.05763236168947056,48.258536585365746,0.9893790849673203,0.8499999999999999,0.979278277569999,0.9225880052151239
